"TITLE_ID","PERSON_ID","PERSON_ROLE"
32809554,10578895,"actor"
32809773,3474674,"director"
32810297,16308929,"actress"
32810407,1316639,"actor"
3281058,2372848,"cinematographer"
32812260,16310374,"actor"
3281326,6023976,"actor"
32813616,3288888,"actor"
32813644,3831825,"writer"
32813661,16844252,"actress"
32813915,13866665,"director"
3281464,2898526,"producer"
3281658,6035850,"actor"
3281684,480873,"producer"
32816974,16311708,"actor"
3281966,6036483,"actress"
32820598,16311943,"self"
32820610,16311955,"producer"
32820777,23697,"actor"
32820897,6450743,"actor"
32820978,2317677,"editor"
32821465,929679,"self"
32821483,2396,"producer"
3282188,4144035,"director"
3282220,4399063,"director"
3282306,3165596,"producer"
3282622,6037254,"cinematographer"
32826816,16629572,"actor"
32827545,18310400,"actor"
32828110,16324608,"self"
32828123,11637688,"actor"
32828667,12348103,"director"
32828949,16315074,"director"
32832330,13863574,"writer"
32832440,16576933,"actor"
32832644,3100048,"casting_director"
3283366,4940913,"actress"
3283512,3681665,"actor"
3283750,2083549,"self"
3283996,630435,"actress"
32840455,16320034,"actor"
32843216,14238182,"actor"
32843232,12328706,"actress"
32843243,16408857,"actor"
32843599,3614592,"composer"
32843657,3803557,"actor"
32843784,2377911,"actor"
32844154,499967,"producer"
32849259,6860913,"writer"
32849277,14874989,"actor"
32850663,13936704,"actor"
32850708,16321701,"actor"
32851607,6836750,"writer"
32851607,6836750,"editor"
32851896,2192843,"writer"
32851896,2192843,"composer"
32852068,15294365,"actor"
32855947,16392044,"producer"
32856733,4329952,"editor"
32856857,16323635,"composer"
32856898,1189959,"editor"
32856933,17198953,"actor"
32856948,13404586,"composer"
32857492,620794,"producer"
32857901,12723539,"writer"
3285884,6056268,"self"
3286052,3666027,"casting_director"
3286166,3371649,"writer"
32862770,359302,"actor"
32864238,252880,"actor"
3286554,4769683,"writer"
3286680,6041208,"actor"
32868532,14286375,"writer"
32868949,10592310,"cinematographer"
32869207,1262584,"casting_director"
32872836,370644,"actor"
32873004,862469,"writer"
32874274,17813,"actor"
32874348,16329793,"writer"
32874842,11211371,"editor"
32874964,1012107,"cinematographer"
32875049,15501692,"director"
32875085,1533078,"producer"
32875621,6860856,"writer"
32875624,2549968,"editor"
32875654,1818500,"producer"
32879719,16332107,"actor"
32880238,14167985,"actor"
32880376,2265252,"editor"
32880624,12461149,"actor"
32880624,10496128,"writer"
32880932,2826784,"cinematographer"
32881174,14064943,"actress"
3288554,4040574,"actress"
32886833,385443,"actor"
32887088,2496992,"actor"
32888092,3378433,"actor"
32888492,12171775,"writer"
32888550,6024677,"director"
32889467,6624723,"producer"
32889590,5353837,"cinematographer"
32889967,467668,"producer"
32889968,3635850,"director"
32890047,16337644,"director"
32890089,11490189,"actress"
32890304,1437121,"producer"
3289080,4726714,"producer"
3289126,594885,"actress"
32895799,6193332,"editor"
3289606,1726219,"cinematographer"
32896542,924210,"actor"
32896805,16640181,"actor"
32896944,3140272,"director"
3289724,640927,"editor"
32897433,616734,"director"
32897768,14304639,"director"
32897959,2186865,"actress"
32898113,10194772,"composer"
32898197,1665297,"actor"
3289956,651969,"cinematographer"
32899921,418351,"actor"
32902923,945207,"composer"
32903281,11218725,"actress"
32903446,1500115,"writer"
32903705,5289946,"actor"
32904093,11760287,"cinematographer"
32904129,4000328,"writer"
3290452,6044351,"actor"
3290482,125367,"writer"
3290622,2103554,"actor"
3290680,2977191,"actress"
32907482,4210896,"actor"
32907954,2051419,"director"
32907955,16345447,"actress"
32908556,1415745,"cinematographer"
32909346,2024315,"editor"
32909479,1492689,"editor"
32909550,2165298,"self"
32912054,14136155,"producer"
32915305,4152475,"producer"
32915411,1402503,"actress"
32915470,11197866,"producer"
32915652,1146347,"actor"
32915989,14002585,"actor"
32916068,16349288,"cinematographer"
32916229,16349501,"director"
32916440,279926,"production_designer"
3291728,5501288,"self"
32918591,14771290,"producer"
32919768,2534665,"actor"
32921458,1283688,"actress"
3293138,6512756,"actor"
32931571,3016550,"director"
32931571,2845192,"writer"
3293174,730894,"director"
32933678,1403539,"archive_footage"
3293768,3782592,"actress"
32937781,4549126,"actress"
32938050,6926811,"director"
3293808,306452,"director"
3293888,1994245,"actor"
3294340,2092515,"actor"
32950173,1572086,"writer"
3295146,1858252,"producer"
3295182,720671,"actress"
3295220,1185242,"actress"
3295786,6049677,"actor"
3295826,2670636,"actor"
3296962,2486007,"actor"
3296962,4903743,"actress"
3296980,2789633,"editor"
3297848,675917,"cinematographer"
32979411,11617202,"editor"
3298190,6224170,"actress"
3298190,178767,"production_designer"
32981960,19396,"composer"
32982610,11006586,"editor"
32982674,2865180,"director"
32984944,3250790,"director"
32985158,16357612,"director"
32985438,11462788,"actor"
32985438,2370192,"producer"
32986110,11378223,"producer"
32986283,3381369,"producer"
32986423,16910957,"self"
32986818,3837694,"writer"
3298690,4629027,"cinematographer"
32989226,4424176,"writer"
32990721,16367120,"writer"
32991372,13045500,"actress"
32991468,2670388,"actor"
3299268,4843829,"actor"
3299268,3278599,"cinematographer"
32992699,11333265,"self"
3299342,6030853,"actor"
32997484,16484755,"writer"
33003764,3534985,"writer"
33004617,4520640,"actress"
33004858,13410358,"actor"
3300542,9530,"actor"
3300572,4286,"actor"
3300614,898126,"producer"
33006312,15268942,"actor"
3300746,242,"producer"
33008100,3863126,"actor"
33008177,16550109,"actor"
33008184,16362957,"actor"
33008417,16363762,"director"
33008760,15268941,"actress"
33008834,16364336,"actress"
3300904,6147211,"actor"
33009208,290645,"actress"
3300980,803931,"writer"
3301196,3478652,"actress"
33012828,16365056,"actress"
33014717,15839291,"actor"
33015212,3940658,"actor"
33015513,14259716,"actor"
33015816,39967,"self"
3301786,1232925,"actress"
3301848,2667037,"actor"
33019817,13317829,"self"
33021653,264298,"director"
33022225,16368367,"editor"
33022320,11042781,"writer"
33022320,96266,"producer"
33022392,10835087,"writer"
3302258,4139896,"actor"
33022679,15376661,"editor"
33022714,16369127,"self"
33023510,684371,"actress"
3302638,3092600,"director"
33028606,16370505,"cinematographer"
33028778,2000224,"editor"
33028815,10898010,"writer"
33028969,762863,"self"
33029123,704654,"actress"
33029713,5630547,"actor"
33029955,185119,"archive_footage"
33029955,2553226,"producer"
33029968,1026185,"casting_director"
33029992,2051572,"director"
33030099,13826591,"actor"
33030107,5231091,"production_designer"
33030186,1488483,"actor"
33030320,1696628,"actress"
33030357,16447631,"actor"
33030369,11407105,"actress"
33030472,650024,"self"
33030504,2275657,"writer"
33030582,3545506,"writer"
3303148,4455632,"self"
33033926,16373140,"editor"
33034505,14576187,"actor"
33034667,2388542,"director"
33034822,1015409,"producer"
33034934,16374606,"producer"
33035146,17818245,"self"
33035217,16375252,"composer"
33037660,3149834,"producer"
33037904,3060331,"producer"
33038179,621993,"producer"
33038186,2289455,"writer"
33038357,16280721,"composer"
33038530,4766441,"editor"
33038638,16890591,"actress"
33038650,16989691,"actor"
33038839,10770264,"actor"
33038885,16379134,"cinematographer"
33039137,16379596,"actor"
33040628,10832283,"self"
33041875,4796765,"writer"
33042702,2127533,"actor"
3304288,619605,"director"
33042902,12561684,"writer"
33042928,14859982,"actress"
33043031,15096327,"editor"
33043136,16383962,"producer"
33043157,603,"actress"
33043975,16460364,"writer"
33044087,16385290,"actor"
33044359,1388317,"actress"
33044416,4278962,"director"
33044512,4024430,"actor"
33044564,18254903,"editor"
33044572,16249850,"actor"
3304480,3505867,"actress"
3304574,6058533,"producer"
33046039,787422,"actor"
33046086,6812152,"actress"
33046197,4020520,"actress"
33046213,11089129,"actor"
33046411,15199510,"actress"
33047058,5596296,"production_designer"
33047249,16388579,"self"
33047399,6164561,"director"
33047482,16388761,"director"
33048502,4947538,"actress"
33049115,16389462,"actor"
33049567,10947785,"director"
33049582,2320332,"editor"
33050641,269417,"director"
33051719,10639664,"writer"
33052013,3287325,"editor"
33052445,15788597,"actor"
33052615,6784658,"actor"
3305266,6241365,"editor"
33053088,1362282,"producer"
33053499,755727,"writer"
33054365,11210524,"actress"
33055034,5324670,"producer"
33055261,277916,"actress"
33055462,16396003,"actress"
33055714,16389065,"editor"
33055751,692074,"actress"
33055954,2010463,"director"
33056063,38378,"actress"
33056268,16397219,"actress"
33056326,2758923,"actor"
33056525,14859451,"actress"
33056809,11238698,"actress"
33056940,13767146,"writer"
33057523,6680734,"actress"
33058249,14662478,"director"
33058249,14662478,"editor"
33058256,13644812,"actor"
33058344,3081434,"cinematographer"
33058468,4782995,"writer"
33059650,16399259,"director"
33059722,3822097,"producer"
33059774,10826870,"composer"
